"";"finessGeoDP";"annee";"vda";"baria_t";"redo";"n";"TOT";"PCT"
"42";"010780203";2020;"COE";"BPG";1;7;16;43,8
"43";"010780203";2020;"COE";"SLE";0;18;20;90
"44";"010780203";2020;"COE";"SLE";1;2;20;10
"45";"010780203";2021;"COE";"ABL";1;18;18;100
"46";"010780203";2021;"COE";"ANN";0;4;4;100
"47";"010780203";2021;"COE";"BPG";0;18;31;58,1
"48";"010780203";2021;"COE";"BPG";1;13;31;41,9
"49";"010780203";2021;"COE";"SLE";0;43;46;93,5
"50";"010780203";2021;"COE";"SLE";1;3;46;6,5
"51";"010780203";2021;"LAP";"BPG";1;3;3;100
"52";"010780203";2021;"LAP";"REV";1;2;2;100
"53";"010780203";2022;"COE";"ABL";1;16;16;100
"54";"010780203";2022;"COE";"ANN";0;1;2;50
"55";"010780203";2022;"COE";"ANN";1;1;2;50
"56";"010780203";2022;"COE";"BPG";0;26;54;48,1
"57";"010780203";2022;"COE";"BPG";1;28;54;51,9
"58";"010780203";2022;"COE";"SLE";0;41;42;97,6
"59";"010780203";2022;"COE";"SLE";1;1;42;2,4
"60";"010780203";2022;"LAP";"ABL";1;1;1;100
"61";"010780203";2022;"LAP";"BPG";1;3;3;100
"62";"010780203";2022;"LAP";"REV";1;5;5;100
"63";"010780203";2023;"COE";"ABL";1;21;21;100
"64";"010780203";2023;"COE";"ANN";0;1;2;50
"65";"010780203";2023;"COE";"ANN";1;1;2;50
"66";"010780203";2023;"COE";"BPG";0;46;70;65,7
"67";"010780203";2023;"COE";"BPG";1;24;70;34,3
"68";"010780203";2023;"COE";"REV";1;2;2;100
"69";"010780203";2023;"COE";"SLE";0;40;41;97,6
"70";"010780203";2023;"COE";"SLE";1;1;41;2,4
"71";"010780203";2023;"LAP";"BPG";0;1;10;10
"72";"010780203";2023;"LAP";"BPG";1;9;10;90
"73";"010780203";2023;"LAP";"REV";1;7;7;100
"74";"010780203";2024;"COE";"ABL";1;11;11;100
"75";"010780203";2024;"COE";"ANN";1;2;2;100
"76";"010780203";2024;"COE";"BPG";0;33;53;62,3
"77";"010780203";2024;"COE";"BPG";1;20;53;37,7
"78";"010780203";2024;"COE";"REV";1;3;3;100
"79";"010780203";2024;"COE";"SLE";0;35;36;97,2
"80";"010780203";2024;"COE";"SLE";1;1;36;2,8
"81";"010780203";2024;"LAP";"BPG";1;2;2;100
"82";"010780203";2024;"LAP";"REV";1;6;6;100
"83";"020000162";2020;"COE";"ABL";1;1;1;100
"84";"020000162";2020;"COE";"BPG";0;5;7;71,4
"85";"020000162";2020;"COE";"BPG";1;2;7;28,6
"86";"020000162";2020;"COE";"SLE";0;51;52;98,1
"87";"020000162";2020;"COE";"SLE";1;1;52;1,9
"88";"020000162";2021;"COE";"ABL";1;4;4;100
"89";"020000162";2021;"COE";"BPG";0;6;9;66,7
"90";"020000162";2021;"COE";"BPG";1;3;9;33,3
"91";"020000162";2021;"COE";"DBP";0;1;1;100
"92";"020000162";2021;"COE";"REV";1;1;1;100
"93";"020000162";2021;"COE";"SLE";0;46;53;86,8
"94";"020000162";2021;"COE";"SLE";1;7;53;13,2
"95";"020000162";2021;"LAP";"BPG";1;1;1;100
"96";"020000162";2021;"LAP";"REV";1;1;1;100
"97";"020000162";2022;"COE";"ABL";1;5;5;100
"98";"020000162";2022;"COE";"BPG";0;6;8;75
"99";"020000162";2022;"COE";"BPG";1;2;8;25
"100";"020000162";2022;"COE";"SLE";0;51;52;98,1
"101";"020000162";2022;"COE";"SLE";1;1;52;1,9
"102";"020000162";2022;"LAP";"BPG";0;2;2;100
"103";"020000162";2023;"COE";"ABL";1;3;3;100
"104";"020000162";2023;"COE";"BPG";0;2;4;50
"105";"020000162";2023;"COE";"BPG";1;2;4;50
"106";"020000162";2023;"COE";"SLE";0;52;53;98,1
"107";"020000162";2023;"COE";"SLE";1;1;53;1,9
"108";"020000162";2023;"LAP";"ABL";1;1;1;100
"109";"020000162";2023;"LAP";"REV";1;2;2;100
"110";"020000162";2024;"COE";"ABL";1;2;2;100
"111";"020000162";2024;"COE";"BPG";0;1;3;33,3
"112";"020000162";2024;"COE";"BPG";1;2;3;66,7
"113";"020000162";2024;"COE";"SLE";0;23;23;100
"114";"020000162";2024;"ROB";"BPG";0;4;5;80
"115";"020000162";2024;"ROB";"BPG";1;1;5;20
"116";"020000162";2024;"ROB";"SLE";0;27;27;100
"117";"020000394";2020;"COE";"ABL";1;15;15;100
"118";"020000394";2020;"COE";"SLE";0;17;25;68
"119";"020000394";2020;"COE";"SLE";1;8;25;32
"120";"020000394";2020;"LAP";"ABL";1;1;1;100
"121";"020000394";2020;"LAP";"BPG";1;1;1;100
"122";"020000394";2020;"LAP";"REV";1;6;6;100
"123";"020000394";2021;"COE";"ABL";1;21;21;100
"124";"020000394";2021;"COE";"BPG";1;2;2;100
"125";"020000394";2021;"COE";"SLE";0;30;38;78,9
"126";"020000394";2021;"COE";"SLE";1;8;38;21,1
"127";"020000394";2021;"LAP";"BPG";1;3;3;100
"128";"020000394";2021;"LAP";"REV";1;6;6;100
"129";"020000394";2022;"COE";"ABL";1;11;11;100
"130";"020000394";2022;"COE";"SLE";0;43;50;86
"131";"020000394";2022;"COE";"SLE";1;7;50;14
"132";"020000394";2022;"LAP";"BPG";1;3;3;100
"133";"020000394";2022;"LAP";"REV";1;4;4;100
"134";"020000394";2023;"COE";"ABL";1;19;19;100
"135";"020000394";2023;"COE";"SLE";0;30;34;88,2
"136";"020000394";2023;"COE";"SLE";1;4;34;11,8
"137";"020000394";2023;"LAP";"BPG";1;1;1;100
"138";"020000394";2023;"LAP";"REV";1;5;5;100
"139";"020000394";2024;"COE";"ABL";1;15;15;100
"140";"020000394";2024;"COE";"BPG";1;2;2;100
