"finessGeoDP","annee","mois","baria_t","TOT_month_tcn","TOT_year_tcn","TOT_month","TOT_year"
"130780521",2024,4,"BPG",4,34,9,100
"130780521",2024,4,"SLE",5,66,9,100
"130780521",2024,5,"BPG",2,34,6,100
"130780521",2024,5,"SLE",4,66,6,100
"130780521",2024,6,"BPG",4,34,11,100
"130780521",2024,6,"SLE",7,66,11,100
"130780521",2024,7,"BPG",2,34,11,100
"130780521",2024,7,"SLE",9,66,11,100
"130780521",2024,8,"BPG",3,34,7,100
"130780521",2024,8,"SLE",4,66,7,100
"130780521",2024,9,"BPG",3,34,9,100
"130780521",2024,9,"SLE",6,66,9,100
"130780521",2024,10,"BPG",5,34,9,100
"130780521",2024,10,"SLE",4,66,9,100
"130780521",2024,11,"BPG",2,34,7,100
"130780521",2024,11,"SLE",5,66,7,100
"130780521",2024,12,"BPG",2,34,9,100
"130780521",2024,12,"SLE",7,66,9,100
"130780521",2025,1,"BPG",1,18,5,58
"130780521",2025,1,"SLE",4,40,5,58
"130780521",2025,2,"BPG",3,18,6,58
"130780521",2025,2,"SLE",3,40,6,58
"130780521",2025,3,"BPG",3,18,11,58
"130780521",2025,3,"SLE",8,40,11,58
"130780521",2025,4,"BPG",5,18,13,58
"130780521",2025,4,"SLE",8,40,13,58
"130780521",2025,5,"BPG",1,18,3,58
"130780521",2025,5,"SLE",2,40,3,58
"130780521",2025,6,"BPG",4,18,10,58
"130780521",2025,6,"SLE",6,40,10,58
"130780521",2025,7,"BPG",1,18,10,58
"130780521",2025,7,"SLE",9,40,10,58
"330783648",2019,1,"ANN",1,7,15,86
"330783648",2019,1,"BPG",7,45,15,86
"330783648",2019,1,"DBP",1,1,15,86
"330783648",2019,1,"SLE",6,33,15,86
"330783648",2019,2,"ANN",1,7,5,86
"330783648",2019,2,"BPG",3,45,5,86
"330783648",2019,2,"SLE",1,33,5,86
"330783648",2019,3,"ANN",2,7,13,86
"330783648",2019,3,"BPG",3,45,13,86
"330783648",2019,3,"SLE",8,33,13,86
"330783648",2019,4,"BPG",5,45,6,86
"330783648",2019,4,"SLE",1,33,6,86
"330783648",2019,5,"BPG",6,45,7,86
"330783648",2019,5,"SLE",1,33,7,86
"330783648",2019,6,"SLE",5,33,5,86
"330783648",2019,7,"ANN",1,7,7,86
"330783648",2019,7,"BPG",4,45,7,86
"330783648",2019,7,"SLE",2,33,7,86
"330783648",2019,8,"SLE",1,33,1,86
"330783648",2019,9,"ANN",1,7,5,86
"330783648",2019,9,"BPG",3,45,5,86
"330783648",2019,9,"SLE",1,33,5,86
"330783648",2019,10,"ANN",1,7,10,86
"330783648",2019,10,"BPG",6,45,10,86
"330783648",2019,10,"SLE",3,33,10,86
"330783648",2019,11,"BPG",6,45,9,86
"330783648",2019,11,"SLE",3,33,9,86
"330783648",2019,12,"BPG",2,45,3,86
"330783648",2019,12,"SLE",1,33,3,86
"330783648",2020,1,"BPG",8,48,9,61
"330783648",2020,1,"SLE",1,12,9,61
"330783648",2020,2,"BPG",8,48,8,61
"330783648",2020,3,"BPG",1,48,1,61
"330783648",2020,5,"BPG",2,48,2,61
"330783648",2020,6,"BPG",5,48,6,61
"330783648",2020,6,"SLE",1,12,6,61
"330783648",2020,7,"BPG",6,48,9,61
"330783648",2020,7,"DBP",1,1,9,61
"330783648",2020,7,"SLE",2,12,9,61
"330783648",2020,8,"BPG",3,48,3,61
"330783648",2020,9,"BPG",4,48,7,61
"330783648",2020,9,"SLE",3,12,7,61
"330783648",2020,10,"BPG",4,48,8,61
"330783648",2020,10,"SLE",4,12,8,61
"330783648",2020,11,"BPG",3,48,3,61
"330783648",2020,12,"BPG",4,48,5,61
"330783648",2020,12,"SLE",1,12,5,61
"330783648",2021,1,"ANN",1,3,6,88
"330783648",2021,1,"BPG",5,66,6,88
"330783648",2021,2,"BPG",6,66,6,88
"330783648",2021,3,"BPG",5,66,5,88
"330783648",2021,4,"BPG",5,66,7,88
"330783648",2021,4,"DBP",1,1,7,88
"330783648",2021,4,"SLE",1,18,7,88
"330783648",2021,5,"BPG",7,66,7,88
"330783648",2021,6,"ANN",1,3,14,88
"330783648",2021,6,"BPG",4,66,14,88
"330783648",2021,6,"SLE",9,18,14,88
"330783648",2021,7,"BPG",5,66,5,88
"330783648",2021,8,"BPG",8,66,10,88
"330783648",2021,8,"SLE",2,18,10,88
"330783648",2021,9,"ANN",1,3,6,88
"330783648",2021,9,"BPG",5,66,6,88
"330783648",2021,10,"BPG",7,66,9,88
"330783648",2021,10,"SLE",2,18,9,88
"330783648",2021,11,"BPG",5,66,9,88
"330783648",2021,11,"SLE",4,18,9,88
"330783648",2021,12,"BPG",4,66,4,88
"330783648",2022,1,"ANN",1,2,10,98
"330783648",2022,1,"BPG",6,65,10,98
"330783648",2022,1,"SLE",3,31,10,98
"330783648",2022,2,"BPG",2,65,4,98
"330783648",2022,2,"SLE",2,31,4,98
"330783648",2022,3,"BPG",6,65,13,98
"330783648",2022,3,"SLE",7,31,13,98
"330783648",2022,4,"BPG",6,65,9,98
"330783648",2022,4,"SLE",3,31,9,98
"330783648",2022,5,"ANN",1,2,6,98
"330783648",2022,5,"BPG",4,65,6,98
"330783648",2022,5,"SLE",1,31,6,98
"330783648",2022,6,"BPG",7,65,10,98
"330783648",2022,6,"SLE",3,31,10,98
"330783648",2022,7,"BPG",4,65,9,98
"330783648",2022,7,"SLE",5,31,9,98
"330783648",2022,8,"BPG",8,65,11,98
"330783648",2022,8,"SLE",3,31,11,98
"330783648",2022,9,"BPG",6,65,9,98
"330783648",2022,9,"SLE",3,31,9,98
"330783648",2022,10,"BPG",7,65,8,98
"330783648",2022,10,"SLE",1,31,8,98
"330783648",2022,11,"BPG",4,65,4,98
"330783648",2022,12,"BPG",5,65,5,98
"330783648",2023,1,"BPG",8,56,9,69
"330783648",2023,1,"SLE",1,12,9,69
"330783648",2023,2,"BPG",10,56,11,69
"330783648",2023,2,"SLE",1,12,11,69
"330783648",2023,3,"ANN",1,1,3,69
"330783648",2023,3,"BPG",2,56,3,69
"330783648",2023,4,"BPG",3,56,3,69
"330783648",2023,5,"BPG",1,56,2,69
"330783648",2023,5,"SLE",1,12,2,69
"330783648",2023,6,"BPG",5,56,7,69
"330783648",2023,6,"SLE",2,12,7,69
"330783648",2023,7,"BPG",3,56,5,69
"330783648",2023,7,"SLE",2,12,5,69
"330783648",2023,8,"BPG",2,56,2,69
"330783648",2023,9,"BPG",3,56,4,69
"330783648",2023,9,"SLE",1,12,4,69
"330783648",2023,10,"BPG",6,56,8,69
"330783648",2023,10,"SLE",2,12,8,69
"330783648",2023,11,"BPG",9,56,10,69
"330783648",2023,11,"SLE",1,12,10,69
"330783648",2023,12,"BPG",4,56,5,69
"330783648",2023,12,"SLE",1,12,5,69
"330783648",2024,1,"BPG",6,54,7,68
"330783648",2024,1,"DBP",1,1,7,68
"330783648",2024,2,"BPG",5,54,6,68
"330783648",2024,2,"SLE",1,11,6,68
"330783648",2024,3,"BPG",5,54,7,68
"330783648",2024,3,"SLE",2,11,7,68
"330783648",2024,4,"BPG",4,54,4,68
"330783648",2024,5,"BPG",4,54,5,68
"330783648",2024,5,"SLE",1,11,5,68
