"GEO";"GEO_OBJECT";"SEX";"AGE";"EP_MEASURE";"OBS_STATUS_FR";TIME_PERIOD;OBS_VALUE
"02";"DEP";"_T";"_T";"POP";"D";2022;525558
"46";"DEP";"_T";"_T";"POP";"D";2022;175620
"22";"DEP";"_T";"_T";"POP";"D";2022;609598
"44";"DEP";"_T";"_T";"POP";"D";2022;1473156
"67";"DEP";"_T";"_T";"POP";"D";2022;1156963
"53";"DEP";"_T";"_T";"POP";"D";2022;305437
"36";"DEP";"_T";"_T";"POP";"D";2022;216809
"13";"DEP";"_T";"_T";"POP";"D";2022;2069811
"28";"DEP";"_T";"_T";"POP";"D";2022;432950
"21";"DEP";"_T";"_T";"POP";"D";2022;537577
"973";"DEP";"_T";"_T";"POP";"D";2022;288382
"07";"DEP";"_T";"_T";"POP";"D";2022;333229
"03";"DEP";"_T";"_T";"POP";"D";2022;334715
"47";"DEP";"_T";"_T";"POP";"D";2022;332226
"971";"DEP";"_T";"_T";"POP";"D";2022;383569
"976";"DEP";"_T";"_T";"POP";"D";2022;299634
"64";"DEP";"_T";"_T";"POP";"D";2022;699473
"2B";"DEP";"_T";"_T";"POP";"D";2022;185231
"24";"DEP";"_T";"_T";"POP";"D";2022;416325
"09";"DEP";"_T";"_T";"POP";"D";2022;155339
"38";"DEP";"_T";"_T";"POP";"D";2022;1291380
"05";"DEP";"_T";"_T";"POP";"D";2022;141677
"85";"DEP";"_T";"_T";"POP";"D";2022;706343
"83";"DEP";"_T";"_T";"POP";"D";2022;1108364
"17";"DEP";"_T";"_T";"POP";"D";2022;668160
"974";"DEP";"_T";"_T";"POP";"D";2022;881348
"66";"DEP";"_T";"_T";"POP";"D";2022;492964
"10";"DEP";"_T";"_T";"POP";"D";2022;311076
"52";"DEP";"_T";"_T";"POP";"D";2022;169865
"73";"DEP";"_T";"_T";"POP";"D";2022;445288
"12";"DEP";"_T";"_T";"POP";"D";2022;279736
"42";"DEP";"_T";"_T";"POP";"D";2022;772041
"15";"DEP";"_T";"_T";"POP";"D";2022;144399
"50";"DEP";"_T";"_T";"POP";"D";2022;496815
"89";"DEP";"_T";"_T";"POP";"D";2022;333896
"51";"DEP";"_T";"_T";"POP";"D";2022;564107
"84";"DEP";"_T";"_T";"POP";"D";2022;568702
"32";"DEP";"_T";"_T";"POP";"D";2022;192649
"26";"DEP";"_T";"_T";"POP";"D";2022;521432
"95";"DEP";"_T";"_T";"POP";"D";2022;1270845
"57";"DEP";"_T";"_T";"POP";"D";2022;1050721
"04";"DEP";"_T";"_T";"POP";"D";2022;167179
"14";"DEP";"_T";"_T";"POP";"D";2022;704605
"76";"DEP";"_T";"_T";"POP";"D";2022;1260205
"54";"DEP";"_T";"_T";"POP";"D";2022;732898
"90";"DEP";"_T";"_T";"POP";"D";2022;140082
"69";"DEP";"_T";"_T";"POP";"D";2022;1907982
"56";"DEP";"_T";"_T";"POP";"D";2022;776103
"59";"DEP";"_T";"_T";"POP";"D";2022;2616909
"06";"DEP";"_T";"_T";"POP";"D";2022;1114579
"08";"DEP";"_T";"_T";"POP";"D";2022;267204
"71";"DEP";"_T";"_T";"POP";"D";2022;549136
"30";"DEP";"_T";"_T";"POP";"D";2022;764010
"81";"DEP";"_T";"_T";"POP";"D";2022;396168
"41";"DEP";"_T";"_T";"POP";"D";2022;328953
"31";"DEP";"_T";"_T";"POP";"D";2022;1456261
"80";"DEP";"_T";"_T";"POP";"D";2022;565540
"78";"DEP";"_T";"_T";"POP";"D";2022;1470778
"77";"DEP";"_T";"_T";"POP";"D";2022;1452399
"92";"DEP";"_T";"_T";"POP";"D";2022;1647435
"972";"DEP";"_T";"_T";"POP";"D";2022;361019
"19";"DEP";"_T";"_T";"POP";"D";2022;240120
"79";"DEP";"_T";"_T";"POP";"D";2022;375415
"60";"DEP";"_T";"_T";"POP";"D";2022;830725
"33";"DEP";"_T";"_T";"POP";"D";2022;1674980
"43";"DEP";"_T";"_T";"POP";"D";2022;228161
"35";"DEP";"_T";"_T";"POP";"D";2022;1109232
"70";"DEP";"_T";"_T";"POP";"D";2022;233920
"40";"DEP";"_T";"_T";"POP";"D";2022;428427
"23";"DEP";"_T";"_T";"POP";"D";2022;115529
"45";"DEP";"_T";"_T";"POP";"D";2022;687063
"29";"DEP";"_T";"_T";"POP";"D";2022;927912
"01";"DEP";"_T";"_T";"POP";"D";2022;671289
"25";"DEP";"_T";"_T";"POP";"D";2022;548662
"39";"DEP";"_T";"_T";"POP";"D";2022;258405
"49";"DEP";"_T";"_T";"POP";"D";2022;828151
"94";"DEP";"_T";"_T";"POP";"D";2022;1419531
"62";"DEP";"_T";"_T";"POP";"D";2022;1460184
"74";"DEP";"_T";"_T";"POP";"D";2022;849583
"55";"DEP";"_T";"_T";"POP";"D";2022;180745
"88";"DEP";"_T";"_T";"POP";"D";2022;358700
"13";"DEP";"_T";"_T";"POP";"PROV";2023;2076707
"16";"DEP";"_T";"_T";"POP";"PROV";2023;351023
