"finessGeoDP","annee","clav_cat_90","NB","PCT","TOT_y"
"050000348",2023,5,1,3.2,31
"050000348",2024,0,50,98,51
"050000348",2024,4,1,2,51
"050000348",2025,0,22,95.7,23
"050000348",2025,3,1,4.3,23
"060000478",2019,0,19,100,19
"060000478",2020,0,10,100,10
"060000478",2021,0,34,91.9,37
"060000478",2021,3,1,2.7,37
"060000478",2021,4,2,5.4,37
"060000478",2022,0,25,89.3,28
"060000478",2022,3,3,10.7,28
"060000478",2023,0,33,97.1,34
"060000478",2023,4,1,2.9,34
"060000478",2024,0,25,100,25
"060000478",2025,0,11,100,11
"060000510",2019,0,144,97.3,148
"060000510",2019,3,3,2,148
"060000510",2019,4,1,0.7,148
"060000510",2020,0,53,94.6,56
"060000510",2020,3,1,1.8,56
"060000510",2020,4,2,3.6,56
"060000510",2021,0,117,98.3,119
"060000510",2021,3,2,1.7,119
"060000510",2022,0,107,100,107
"060000510",2023,0,78,100,78
"060000510",2024,0,85,96.6,88
"060000510",2024,4,3,3.4,88
"060000510",2025,0,37,100,37
"060002102",2021,0,2,100,2
"060002102",2022,0,5,100,5
"060002102",2023,0,10,100,10
"060002102",2024,0,7,87.5,8
"060002102",2024,4,1,12.5,8
"060002102",2025,0,2,100,2
"060021417",2019,0,38,95,40
"060021417",2019,3,2,5,40
"060021417",2020,0,43,93.5,46
"060021417",2020,3,2,4.3,46
"060021417",2020,4,1,2.2,46
"060021417",2021,0,74,96.1,77
"060021417",2021,3,2,2.6,77
"060021417",2021,4,1,1.3,77
"060021417",2022,0,74,100,74
"060021417",2023,0,90,97.8,92
"060021417",2023,3,1,1.1,92
"060021417",2023,4,1,1.1,92
"060021417",2024,0,79,95.2,83
"060021417",2024,3,4,4.8,83
"060021417",2025,0,39,95.1,41
"060021417",2025,3,2,4.9,41
"060780491",2019,0,103,97.2,106
"060780491",2019,3,2,1.9,106
"060780491",2019,4,1,0.9,106
"060780491",2020,0,80,95.2,84
"060780491",2020,3,3,3.6,84
"060780491",2020,4,1,1.2,84
"060780491",2021,0,91,98.9,92
"060780491",2021,4,1,1.1,92
"060780491",2022,0,84,96.6,87
"060780491",2022,3,2,2.3,87
"060780491",2022,4,1,1.1,87
"060780491",2023,0,59,93.7,63
"060780491",2023,3,1,1.6,63
"060780491",2023,4,3,4.8,63
"060780491",2024,0,93,96.9,96
"060780491",2024,3,3,3.1,96
"060780491",2025,0,70,90.9,77
"060780491",2025,3,3,3.9,77
"060780491",2025,4,4,5.2,77
"060780590",2019,0,85,97.7,87
"060780590",2019,3,2,2.3,87
"060780590",2020,0,80,96.4,83
"060780590",2020,3,3,3.6,83
"060780590",2021,0,78,98.7,79
"060780590",2021,3,1,1.3,79
"060780590",2022,0,58,96.7,60
"060780590",2022,3,2,3.3,60
"060780590",2023,0,32,97,33
"060780590",2023,3,1,3,33
"060780590",2024,0,49,96.1,51
"060780590",2024,3,2,3.9,51
"060780590",2025,0,11,84.6,13
"060780590",2025,3,1,7.7,13
"060780590",2025,4,1,7.7,13
"060780715",2019,0,77,100,77
"060780715",2020,0,58,100,58
"060780715",2021,0,81,96.4,84
"060780715",2021,3,3,3.6,84
"060780715",2022,0,68,98.6,69
"060780715",2022,3,1,1.4,69
"060780715",2023,0,71,100,71
"060780715",2024,0,40,95.2,42
"060780715",2024,3,1,2.4,42
"060780715",2024,5,1,2.4,42
"060780715",2025,0,72,100,72
"060780723",2025,0,49,98,50
"060780723",2025,3,1,2,50
"060780756",2021,0,1,100,1
"060781200",2019,0,28,100,28
"060781200",2020,0,18,94.7,19
"060781200",2020,4,1,5.3,19
"060781200",2021,0,23,95.8,24
"060781200",2021,3,1,4.2,24
"060785003",2023,0,4,100,4
"060785003",2024,0,3,100,3
"060789195",2019,0,268,99.6,269
"060789195",2019,3,1,0.4,269
"060789195",2020,0,193,96,201
"060789195",2020,3,5,2.5,201
"060789195",2020,4,3,1.5,201
"060789195",2021,0,191,97.9,195
"060789195",2021,3,3,1.5,195
"060789195",2021,4,1,0.5,195
"060789195",2022,0,219,99.1,221
"060789195",2022,3,2,0.9,221
"060789195",2023,0,184,97.9,188
"060789195",2023,3,2,1.1,188
"060789195",2023,4,1,0.5,188
"060789195",2023,5,1,0.5,188
"060789195",2024,0,106,96.4,110
"060789195",2024,3,3,2.7,110
"060789195",2024,4,1,0.9,110
"060789195",2025,0,46,100,46
"060800166",2019,0,15,100,15
"060800166",2020,0,20,100,20
"060800166",2021,0,32,94.1,34
"060800166",2021,4,2,5.9,34
"060800166",2022,0,32,97,33
"060800166",2022,3,1,3,33
"060800166",2023,0,32,100,32
"060800166",2024,0,9,90,10
"060800166",2024,4,1,10,10
"060800166",2025,0,5,100,5
"070000013",2019,0,7,87.5,8
"070000013",2019,3,1,12.5,8
"070000013",2020,0,3,100,3
"070000013",2021,0,8,100,8
"070000013",2022,0,3,75,4
"070000013",2022,3,1,25,4
"070000013",2023,0,12,100,12
"070000013",2024,0,9,100,9
"070000013",2025,0,5,100,5
"070000179",2019,0,18,100,18
"070000179",2020,0,2,100,2
"070780168",2019,0,38,97.4,39
"070780168",2019,3,1,2.6,39
"070780168",2020,0,16,100,16
"070780168",2021,0,16,84.2,19
"070780168",2021,3,3,15.8,19
"070780168",2022,0,16,94.1,17
"070780168",2022,3,1,5.9,17
"070780168",2023,0,11,100,11
"070780168",2024,0,20,95.2,21
"070780168",2024,4,1,4.8,21
"070780168",2025,0,3,60,5
"070780168",2025,3,2,40,5
"070780424",2019,0,126,96.9,130
"070780424",2019,3,4,3.1,130
"070780424",2020,0,109,99.1,110
"070780424",2020,3,1,0.9,110
"070780424",2021,0,110,96.5,114
"070780424",2021,3,4,3.5,114
"070780424",2022,0,119,100,119
"070780424",2023,0,88,96.7,91
"070780424",2023,3,2,2.2,91
"070780424",2023,4,1,1.1,91
"070780424",2024,0,85,100,85
"070780424",2025,0,55,93.2,59
"070780424",2025,3,4,6.8,59
"080010473",2019,0,120,91.6,131
"080010473",2019,3,11,8.4,131
"080010473",2020,0,80,98.8,81
"080010473",2020,3,1,1.2,81
"080010473",2021,0,131,97,135
"080010473",2021,3,4,3,135
"080010473",2022,0,119,98.3,121
"080010473",2022,3,2,1.7,121
"080010473",2023,0,113,95,119
"080010473",2023,3,5,4.2,119
"080010473",2023,4,1,0.8,119
"080010473",2024,0,110,99.1,111
"080010473",2024,4,1,0.9,111
"080010473",2025,0,52,100,52
"100000082",2019,0,100,99,101
"100000082",2019,3,1,1,101
"100000082",2020,0,97,100,97
"100000082",2021,0,105,98.1,107
"100000082",2021,3,1,0.9,107
"100000082",2021,5,1,0.9,107
"100000082",2022,0,46,100,46
"100000090",2024,0,5,100,5
"100000090",2025,0,2,100,2
"100000124",2019,0,162,98.8,164
"100000124",2019,3,1,0.6,164
"100000124",2019,5,1,0.6,164
"100000124",2020,0,72,100,72
"100000124",2021,0,101,98.1,103
"100000124",2021,3,2,1.9,103
"100000124",2022,0,158,98.1,161
"100000124",2022,3,3,1.9,161
"100000124",2023,0,124,97.6,127
"100000124",2023,3,3,2.4,127
"100000124",2024,0,73,96.1,76
"100000124",2024,3,3,3.9,76
"100000124",2025,0,61,100,61
"100010818",2019,0,9,100,9
"100010818",2020,0,9,100,9
"100010818",2021,0,23,95.8,24
"100010818",2021,3,1,4.2,24
"100010818",2022,0,47,97.9,48
"100010818",2022,5,1,2.1,48
"100010818",2023,0,99,99,100
"100010818",2023,3,1,1,100
"100010818",2024,0,91,100,91
"110000023",2019,0,85,94.4,90
"110000023",2019,3,4,4.4,90
"110000023",2019,4,1,1.1,90
"110000023",2020,0,56,93.3,60
"110000023",2020,3,3,5,60
"110000023",2020,4,1,1.7,60
"110000023",2021,0,101,99,102
"110000023",2021,3,1,1,102
"110000023",2022,0,102,98.1,104
"110000023",2022,3,1,1,104
"110000023",2022,4,1,1,104
"110000023",2023,0,106,100,106
"110000023",2024,0,89,100,89
"110000023",2025,0,81,97.6,83
"110000023",2025,3,1,1.2,83
"110000023",2025,4,1,1.2,83
"110000056",2019,0,51,94.4,54
"110000056",2019,3,2,3.7,54
"110000056",2019,4,1,1.9,54
"110000056",2020,0,28,93.3,30
"110000056",2020,3,1,3.3,30
"110000056",2020,4,1,3.3,30
"110000056",2021,0,41,91.1,45
"110000056",2021,3,3,6.7,45
"110000056",2021,4,1,2.2,45
"110000056",2022,0,51,100,51
"110000056",2023,0,33,94.3,35
"110000056",2023,3,2,5.7,35
"110000056",2024,0,38,92.7,41
"110000056",2024,3,3,7.3,41
"110000056",2025,0,18,100,18
"110780228",2019,0,23,95.8,24
"110780228",2019,3,1,4.2,24
"110780228",2020,0,8,88.9,9
"110780228",2020,3,1,11.1,9
"110780228",2021,0,16,100,16
"110780228",2022,0,16,94.1,17
"110780228",2022,3,1,5.9,17
"110780228",2023,0,7,100,7
"110780228",2024,0,17,100,17
"110780228",2025,0,12,92.3,13
"110780228",2025,4,1,7.7,13
"110780483",2019,0,18,100,18
"110780483",2020,0,10,100,10
"110780483",2021,0,15,93.8,16
"110780483",2021,4,1,6.2,16
