codeInsee;codePostal;longitude;latitude;nomCommune
23026;23230;46,25165333;2,287162459;BORD-SAINT-GEORGES
23027;23400;46,00235715;1,754330245;BOSMOREAU-LES-MINES
23028;23200;46,00384327;2,250856033;BOSROGER
23029;23220;46,30132196;1,841029636;LE BOURG-D'HEM
23030;23400;45,94883161;1,749006409;BOURGANEUF
23031;23600;46,34779884;2,223083562;BOUSSAC
23032;23600;46,36809323;2,215611354;BOUSSAC-BOURG
23033;23000;46,16435963;1,788869377;LA BRIONNE
23034;23700;45,97214857;2,452985469;BROUSSE
23035;23170;46,220718;2,475121069;BUDELIERE
23036;23320;46,25575637;1,760289955;BUSSIERE-DUNOISE
23037;23700;46,01367227;2,419564724;BUSSIERE-NOUVELLE
23038;23600;46,40179071;2,155114359;BUSSIERE-SAINT-GEORGES
23039;23800;46,31197989;1,781784815;LA CELLE-DUNOISE
23040;23230;46,21888551;2,209274331;LA CELLE-SOUS-GOUZON
23041;23350;46,40133282;2,009523145;LA CELLETTE
23042;23210;46,05902798;1,664893083;CEYROUX
23043;23480;46,05004667;2,044210887;CHAMBERAUD
23044;23220;46,35283322;1,769503952;CHAMBON-SAINTE-CROIX
23045;23170;46,19273272;2,418575731;CHAMBON-SUR-VOUEIZE
23046;23110;46,1608852;2,541589294;CHAMBONCHARD
23047;23240;46,15707222;1,573025859;CHAMBORAND
23048;23190;46,02023947;2,286705924;CHAMPAGNAT
23049;23220;46,28065616;1,889313526;CHAMPSANGLARD
23050;23160;46,35895456;1,56868824;LA CHAPELLE-BALOUE
23051;23250;46,02531312;1,922383165;LA CHAPELLE-SAINT-MARTIAL
23052;23000;46,11377291;1,833619779;LA CHAPELLE-TAILLEFERT
23053;23700;45,94979058;2,490422849;CHARD
23054;23700;46,03756057;2,56407684;CHARRON
23055;23700;45,96378445;2,46736302;CHATELARD
23056;23430;46,00694746;1,625477741;CHATELUS-LE-MARCHEIX
23057;23270;46,29693506;2,033005416;CHATELUS-MALVALEIX
23058;23130;46,11035485;2,328925647;LE CHAUCHET
23059;23200;45,98762958;2,248855321;LA CHAUSSADE
23060;23250;45,95235707;1,966308669;CHAVANAT
23061;23130;46,11274952;2,171518223;CHENERAILLES
23062;23220;46,35140729;1,827614419;CHENIERS
23063;23500;45,7760336;2,177001124;CLAIRAVAUX
23064;23270;46,29935816;2,119664145;CLUGNAT
23065;23800;46,28810757;1,6169207;COLONDANNES
23066;23700;46,00391858;2,452623155;LE COMPAS
