"finessGeoDP","baria_t","n","pct"
"620003202","SLE",127,60.2
"620003376","ANN",4,0.9
"620003376","BPG",201,45.4
"620003376","SLE",238,53.7
"620006049","ANN",9,4.1
"620006049","BPG",77,35.2
"620006049","SLE",133,60.7
"620100099","BPG",89,32.8
"620100099","SLE",182,67.2
"620100750","ANN",5,0.5
"620100750","BPG",138,14.4
"620100750","SLE",818,85.1
"620101311","ANN",5,3.1
"620101311","BPG",69,43.4
"620101311","SLE",85,53.5
"620101501","ANN",2,0.5
"620101501","BPG",21,5.7
"620101501","SLE",348,93.8
"620118513","ANN",7,2.7
"620118513","BPG",167,63.7
"620118513","SLE",88,33.6
"630780211","BPG",96,44
"630780211","SLE",122,56
"630780369","BPG",119,47.2
"630780369","SLE",133,52.8
"630781268","BPG",48,19
"630781268","SLE",204,81
"630781839","BPG",3,1.5
"630781839","SLE",203,98.5
"640000162","ANN",1,0.3
"640000162","BPG",192,53.5
"640000162","SLE",166,46.2
"640000600","BPG",58,38.2
"640000600","SLE",94,61.8
"640018206","ANN",3,0.7
"640018206","BPG",244,58.5
"640018206","SLE",170,40.8
"640780946","BPG",517,68.2
"640780946","SLE",241,31.8
"660000084","BPG",26,17.9
"660000084","SLE",119,82.1
"660006305","BPG",15,5.3
"660006305","SLE",268,94.7
"660780669","ANN",4,0.7
"660780669","BPG",296,50.6
"660780669","SLE",285,48.7
"660780784","ANN",2,0.5
"660780784","BPG",57,13.4
"660780784","DBP",2,0.5
"660780784","SLE",363,85.6
"670000025","BPG",374,43
"670000025","DBP",1,0.1
"670000025","SLE",495,56.9
"670000165","BPG",104,42.6
"670000165","SLE",140,57.4
"670018068","BPG",195,15.1
"670018068","DBP",1,0.1
"670018068","SLE",1093,84.8
"670780170","BPG",210,29
"670780170","SLE",514,71
"670780212","ANN",2,0.4
"670780212","BPG",339,70.6
"670780212","SLE",139,29
"670780378","BPG",111,48.3
"670780378","DBP",1,0.4
"670780378","SLE",118,51.3
"670780386","BPG",93,86.1
"670780386","SLE",15,13.9
"670783273","BPG",107,95.5
"670783273","SLE",5,4.5
"680000494","ANN",1,0.1
"680000494","BPG",283,20.4
"680000494","SLE",1106,79.6
"680000684","BPG",531,73.5
"680000684","DBP",16,2.2
"680000684","SLE",175,24.2
"680004546","BPG",147,79.5
"680004546","SLE",38,20.5
"690000575","BPG",24,6.6
"690000575","SLE",339,93.4
"690022959","ANN",3,1.3
"690022959","BPG",90,40.4
"690022959","SLE",130,58.3
"690023239","ANN",65,3.9
"690023239","BPG",160,9.5
"690023239","SLE",1459,86.6
"690023411","ANN",3,0.7
"690023411","BPG",210,50.4
"690023411","DBP",6,1.4
"690023411","SLE",198,47.5
"690041124","ANN",3,0.8
"690041124","BPG",286,75.3
"690041124","SLE",91,23.9
"690054713","BPG",61,75.3
"690054713","SLE",20,24.7
"690780390","ANN",10,1.8
"690780390","BPG",85,15.5
"690780390","SLE",454,82.7
"690780416","BPG",191,91.4
"690780416","SLE",18,8.6
"690780648","ANN",1243,35.4
"690780648","BPG",246,7
"690780648","SLE",2023,57.6
"690780655","ANN",58,4.6
"690780655","BPG",688,54.3
"690780655","SLE",521,41.1
"690783154","ANN",3,0.5
"690783154","BPG",215,36.4
"690783154","DBP",52,8.8
"690783154","SLE",321,54.3
"690793468","ANN",28,5.9
"690793468","BPG",29,6.1
"690793468","SLE",421,88.1
"690805361","ANN",2,1.1
"690805361","BPG",49,27.7
"690805361","SLE",126,71.2
"690807367","ANN",9,4
"690807367","BPG",64,28.6
"690807367","SLE",151,67.4
"710006859","ANN",20,8.6
"710006859","BPG",8,3.4
"710006859","SLE",205,88
"710010067","BPG",59,34.7
"710010067","DBP",1,0.6
"710010067","SLE",110,64.7
"710780917","ANN",111,31.4
"710780917","BPG",12,3.4
"710780917","SLE",231,65.3
"710978263","BPG",130,52.4
"710978263","SLE",118,47.6
"710978289","BPG",133,46.8
"710978289","DBP",3,1.1
"710978289","SLE",148,52.1
"720000199","BPG",29,8.3
"720000199","SLE",321,91.7
"720017748","BPG",66,32.8
"720017748","SLE",135,67.2
"730000031","BPG",102,35.2
"730000031","SLE",188,64.8
"730004298","BPG",13,8
"730004298","SLE",150,92
"740014345","ANN",4,1
"740014345","BPG",120,28.8
"740014345","SLE",292,70.2
"740780424","ANN",10,2.3
"740780424","BPG",23,5.4
"740780424","DBP",4,0.9
"740780424","SLE",391,91.4
"740781141","ANN",32,4.7
"740781141","BPG",114,16.9
"740781141","SLE",529,78.4
"750000523","BPG",29,10.7
"750000523","DBP",16,5.9
"750000523","SLE",227,83.5
"750100125","BPG",363,70.8
"750100125","SLE",150,29.2
"750100232","ANN",1,0.1
"750100232","BPG",341,38.3
"750100232","DBP",5,0.6
"750100232","SLE",543,61
"750150104","ANN",1,0.2
"750150104","BPG",70,13
"750150104","DBP",6,1.1
"750150104","SLE",460,85.7
"750150237","BPG",113,29.7
"750150237","DBP",1,0.3
"750150237","SLE",266,70
"750300071","ANN",27,2.5
"750300071","BPG",379,34.5
"750300071","DBP",2,0.2
"750300071","SLE",692,62.9
"750300154","ANN",4,0.5
"750300154","BPG",174,20.7
"750300154","DBP",1,0.1
"750300154","SLE",661,78.7
"750300360","ANN",45,5.3
"750300360","BPG",135,15.9
"750300360","SLE",668,78.8
"750300766","BPG",53,10.3
"750300766","SLE",462,89.7
"750300881","ANN",186,27.9
"750300881","BPG",99,14.8
"750300881","SLE",382,57.3
"750300915","ANN",9,1.6
"750300915","BPG",69,12.5
"750300915","SLE",476,85.9
"750301145","ANN",43,5.7
"750301145","BPG",40,5.3
"750301145","DBP",5,0.7
"750301145","SLE",669,88.4
"750803447","ANN",7,1.4
"750803447","BPG",356,69.3
"750803447","DBP",7,1.4
"750803447","SLE",144,28
"760000018","ANN",1,0.5
"760000018","BPG",162,74.3
"760000018","DBP",5,2.3
"760000018","SLE",50,22.9
"760000158","BPG",89,15.9
"760000158","SLE",472,84.1
"760000463","BPG",16,6.2
"760000463","SLE",242,93.8
"760021329","ANN",5,0.5
"760021329","BPG",356,35.7
"760021329","DBP",3,0.3
"760021329","SLE",633,63.5
"760025312","ANN",1,0.2
"760025312","BPG",134,27.1
"760025312","SLE",359,72.7
"760027292","BPG",21,8.4
"760027292","SLE",229,91.6
"760780510","BPG",19,9
"760780510","SLE",193,91
"760780619","ANN",3,0.7
"760780619","BPG",105,25
"760780619","SLE",312,74.3
"760780825","BPG",32,26.4
"760780825","SLE",89,73.6
"760805770","BPG",42,23.3
"760805770","SLE",138,76.7
"760921809","ANN",22,2.5
"760921809","BPG",63,7.2
"760921809","DBP",6,0.7
"760921809","SLE",784,89.6
"770000156","BPG",31,28.7
"770000156","DBP",8,7.4
"770000156","SLE",69,63.9
"770000164","ANN",1,0.6
"770000164","SLE",174,99.4
"770000446","BPG",82,36.8
"770000446","SLE",141,63.2
"770019032","BPG",65,20.4
"770019032","DBP",2,0.6
"770019032","SLE",252,79
"770300135","BPG",14,6.5
"770300135","DBP",4,1.8
"770300135","SLE",199,91.7
"770300143","ANN",31,5.5
"770300143","BPG",78,13.8
"770300143","SLE",455,80.7
"780000287","BPG",57,20.7
"780000287","SLE",218,79.3
"780000311","ANN",1,0.2
"780000311","BPG",60,13.2
"780000311","DBP",22,4.8
"780000311","SLE",373,81.8
"780300208","ANN",9,1.9
"780300208","BPG",43,8.9
"780300208","DBP",1,0.2
"780300208","SLE",431,89
"780300323","ANN",1,0.6
"780300323","BPG",16,9.2
"780300323","SLE",156,90.2
"780300414","ANN",10,0.7
"780300414","BPG",70,5
"780300414","DBP",1,0.1
"780300414","SLE",1328,94.3
"780300422","BPG",8,3.6
"780300422","SLE",212,96.4
"790009948","ANN",1,0.3
"790009948","BPG",199,60.5
"790009948","SLE",129,39.2
"800002503","BPG",21,10.5
"800002503","SLE",179,89.5
"800006124","BPG",58,10.4
