"finessGeoDP","annee","mois","n"
"070780424",2023,8,4
"070780424",2023,9,5
"070780424",2023,10,9
"070780424",2023,11,5
"070780424",2023,12,4
"070780424",2024,1,6
"070780424",2024,2,6
"070780424",2024,3,13
"070780424",2024,4,8
"070780424",2024,5,9
"070780424",2024,6,8
"070780424",2024,7,5
"070780424",2024,8,1
"070780424",2024,9,8
"070780424",2024,10,9
"070780424",2024,11,10
"070780424",2024,12,2
"070780424",2025,1,9
"070780424",2025,2,9
"070780424",2025,3,10
"070780424",2025,4,14
"070780424",2025,5,7
"070780424",2025,6,8
"080010473",2021,1,2
"080010473",2021,2,12
"080010473",2021,3,13
"080010473",2021,4,9
"080010473",2021,5,11
"080010473",2021,6,21
"080010473",2021,7,16
"080010473",2021,8,11
"080010473",2021,9,13
"080010473",2021,10,13
"080010473",2021,11,9
"080010473",2021,12,5
"080010473",2022,1,15
"080010473",2022,2,15
"080010473",2022,3,15
"080010473",2022,4,2
"080010473",2022,5,10
"080010473",2022,6,18
"080010473",2022,7,10
"080010473",2022,8,9
"080010473",2022,9,6
"080010473",2022,10,7
"080010473",2022,11,12
"080010473",2022,12,2
"080010473",2023,1,9
"080010473",2023,2,2
"080010473",2023,3,16
"080010473",2023,4,15
"080010473",2023,5,10
"080010473",2023,6,16
"080010473",2023,7,7
"080010473",2023,8,6
"080010473",2023,9,5
"080010473",2023,10,18
"080010473",2023,11,10
"080010473",2023,12,5
"080010473",2024,1,4
"080010473",2024,2,18
"080010473",2024,3,9
"080010473",2024,4,5
"080010473",2024,5,10
"080010473",2024,6,7
"080010473",2024,7,8
"080010473",2024,8,6
"080010473",2024,9,17
"080010473",2024,10,18
"080010473",2024,11,7
"080010473",2024,12,2
"080010473",2025,1,10
"080010473",2025,2,11
"080010473",2025,3,6
"080010473",2025,4,9
"080010473",2025,5,9
"080010473",2025,6,7
"100000082",2021,1,8
"100000082",2021,2,7
"100000082",2021,3,18
"100000082",2021,4,7
"100000082",2021,5,12
"100000082",2021,6,9
"100000082",2021,7,5
"100000082",2021,8,6
"100000082",2021,9,8
"100000082",2021,10,12
"100000082",2021,11,10
"100000082",2021,12,5
"100000082",2022,1,13
"100000082",2022,2,8
"100000082",2022,3,8
"100000082",2022,4,8
"100000082",2022,5,3
"100000082",2022,6,6
"100000124",2021,1,9
"100000124",2021,2,9
"100000124",2021,3,12
"100000124",2021,4,6
"100000124",2021,5,6
"100000124",2021,6,11
"100000124",2021,7,7
"100000124",2021,8,4
"100000124",2021,9,12
"100000124",2021,10,13
"100000124",2021,11,7
"100000124",2021,12,7
"100000124",2022,1,18
"100000124",2022,2,11
"100000124",2022,3,18
"100000124",2022,4,13
"100000124",2022,5,10
"100000124",2022,6,22
"100000124",2022,7,15
"100000124",2022,8,9
"100000124",2022,9,23
"100000124",2022,10,9
"100000124",2022,11,10
"100000124",2022,12,3
"100000124",2023,1,13
"100000124",2023,2,11
"100000124",2023,3,8
"100000124",2023,4,10
"100000124",2023,5,16
"100000124",2023,6,14
"100000124",2023,7,13
"100000124",2023,8,5
"100000124",2023,9,14
"100000124",2023,10,8
"100000124",2023,11,13
"100000124",2023,12,2
"100000124",2024,1,13
"100000124",2024,2,10
"100000124",2024,3,13
"100000124",2024,4,9
"100000124",2024,5,2
"100000124",2024,6,10
"100000124",2024,7,16
"100000124",2024,8,2
"100000124",2024,10,1
"100000124",2025,1,15
"100000124",2025,2,16
"100000124",2025,3,13
"100000124",2025,4,11
"100000124",2025,5,6
"100010818",2021,1,1
"100010818",2021,2,2
"100010818",2021,3,2
"100010818",2021,4,3
"100010818",2021,5,5
"100010818",2021,6,4
"100010818",2021,7,1
"100010818",2021,8,1
"100010818",2021,9,2
"100010818",2021,11,1
"100010818",2021,12,2
"100010818",2022,1,3
"100010818",2022,5,2
"100010818",2022,6,4
"100010818",2022,7,4
"100010818",2022,8,4
"100010818",2022,9,10
"100010818",2022,10,7
"100010818",2022,11,7
"100010818",2022,12,7
"100010818",2023,1,5
"100010818",2023,2,7
"100010818",2023,3,8
"100010818",2023,4,9
"100010818",2023,5,7
"100010818",2023,6,10
"100010818",2023,7,12
"100010818",2023,8,4
"100010818",2023,9,10
"100010818",2023,10,10
