"finessGeoDP","annee","duree_cat","LOS_nb","LOS_pct"
"130001225",2023,"(3,6]",54,93.1
"130001225",2023,"(6,225]",4,6.9
"130001225",2024,"(0,3]",17,35.4
"130001225",2024,"(3,6]",30,62.5
"130001225",2024,"(6,225]",1,2.1
"130001225",2025,"(0,3]",26,92.9
"130001225",2025,"(6,225]",2,7.1
"130043664",2021,"[-1,0]",96,34.2
"130043664",2021,"(0,3]",178,63.3
"130043664",2021,"(3,6]",4,1.4
"130043664",2021,"(6,225]",3,1.1
"130043664",2022,"[-1,0]",32,15.3
"130043664",2022,"(0,3]",167,79.9
"130043664",2022,"(3,6]",5,2.4
"130043664",2022,"(6,225]",5,2.4
"130043664",2023,"[-1,0]",42,20.6
"130043664",2023,"(0,3]",157,77
"130043664",2023,"(3,6]",1,0.5
"130043664",2023,"(6,225]",4,2
"130043664",2024,"[-1,0]",50,22.5
"130043664",2024,"(0,3]",167,75.2
"130043664",2024,"(3,6]",3,1.4
"130043664",2024,"(6,225]",2,0.9
"130043664",2025,"[-1,0]",27,19.4
"130043664",2025,"(0,3]",109,78.4
"130043664",2025,"(6,225]",3,2.2
"130780521",2021,"(3,6]",66,90.4
"130780521",2021,"(6,225]",7,9.6
"130780521",2022,"(0,3]",10,19.6
"130780521",2022,"(3,6]",29,56.9
"130780521",2022,"(6,225]",12,23.5
"130780521",2023,"(0,3]",50,71.4
"130780521",2023,"(3,6]",11,15.7
"130780521",2023,"(6,225]",9,12.9
"130780521",2024,"(0,3]",73,73
"130780521",2024,"(3,6]",21,21
"130780521",2024,"(6,225]",6,6
"130780521",2025,"(0,3]",38,79.2
"130780521",2025,"(3,6]",6,12.5
"130780521",2025,"(6,225]",4,8.3
"130781479",2021,"[-1,0]",2,1.5
"130781479",2021,"(0,3]",132,97.1
"130781479",2021,"(6,225]",2,1.5
"130781479",2022,"[-1,0]",1,0.7
"130781479",2022,"(0,3]",146,98.6
"130781479",2022,"(3,6]",1,0.7
"130781479",2023,"(0,3]",142,98.6
"130781479",2023,"(3,6]",2,1.4
"130781479",2024,"(0,3]",134,94.4
"130781479",2024,"(3,6]",4,2.8
"130781479",2024,"(6,225]",4,2.8
"130781479",2025,"(0,3]",76,96.2
"130781479",2025,"(6,225]",3,3.8
"130782162",2021,"(0,3]",109,90.1
"130782162",2021,"(3,6]",6,5
"130782162",2021,"(6,225]",6,5
"130782162",2022,"(0,3]",104,88.9
"130782162",2022,"(3,6]",10,8.5
"130782162",2022,"(6,225]",3,2.6
"130782162",2023,"(0,3]",91,92.9
"130782162",2023,"(3,6]",5,5.1
"130782162",2023,"(6,225]",2,2
"130782162",2024,"(0,3]",78,90.7
"130782162",2024,"(3,6]",6,7
"130782162",2024,"(6,225]",2,2.3
"130782162",2025,"(0,3]",59,92.2
"130782162",2025,"(3,6]",5,7.8
"130783236",2021,"(0,3]",71,56.8
"130783236",2021,"(3,6]",38,30.4
"130783236",2021,"(6,225]",16,12.8
"130783236",2022,"(0,3]",97,75.8
"130783236",2022,"(3,6]",24,18.8
"130783236",2022,"(6,225]",7,5.5
"130783236",2023,"(0,3]",90,78.3
"130783236",2023,"(3,6]",16,13.9
"130783236",2023,"(6,225]",9,7.8
"130783236",2024,"(0,3]",43,89.6
"130783236",2024,"(3,6]",4,8.3
"130783236",2024,"(6,225]",1,2.1
"130783236",2025,"(0,3]",15,83.3
"130783236",2025,"(3,6]",3,16.7
"130783327",2021,"[-1,0]",29,17.7
"130783327",2021,"(0,3]",129,78.7
"130783327",2021,"(3,6]",4,2.4
"130783327",2021,"(6,225]",2,1.2
"130783327",2022,"[-1,0]",42,18.3
"130783327",2022,"(0,3]",178,77.4
"130783327",2022,"(3,6]",9,3.9
"130783327",2022,"(6,225]",1,0.4
"130783327",2023,"[-1,0]",25,11.2
"130783327",2023,"(0,3]",192,85.7
"130783327",2023,"(3,6]",3,1.3
"130783327",2023,"(6,225]",4,1.8
"130783327",2024,"[-1,0]",23,9.3
"130783327",2024,"(0,3]",217,87.5
"130783327",2024,"(3,6]",7,2.8
"130783327",2024,"(6,225]",1,0.4
"130783327",2025,"[-1,0]",25,16.9
"130783327",2025,"(0,3]",119,80.4
"130783327",2025,"(3,6]",4,2.7
"130784051",2021,"[-1,0]",1,1.3
"130784051",2021,"(0,3]",52,69.3
"130784051",2021,"(3,6]",22,29.3
"130784051",2022,"[-1,0]",1,2.1
"130784051",2022,"(0,3]",41,85.4
"130784051",2022,"(3,6]",3,6.2
"130784051",2022,"(6,225]",3,6.2
"130784051",2023,"[-1,0]",1,1.9
"130784051",2023,"(0,3]",45,84.9
"130784051",2023,"(3,6]",6,11.3
"130784051",2023,"(6,225]",1,1.9
"130784051",2024,"(0,3]",11,68.8
"130784051",2024,"(3,6]",4,25
"130784051",2024,"(6,225]",1,6.2
"130785652",2021,"(0,3]",90,90
"130785652",2021,"(3,6]",7,7
"130785652",2021,"(6,225]",3,3
"130785652",2022,"(0,3]",81,85.3
"130785652",2022,"(3,6]",13,13.7
"130785652",2022,"(6,225]",1,1.1
"130785652",2023,"(0,3]",87,87.9
"130785652",2023,"(3,6]",9,9.1
"130785652",2023,"(6,225]",3,3
"130785652",2024,"(0,3]",92,89.3
"130785652",2024,"(3,6]",8,7.8
"130785652",2024,"(6,225]",3,2.9
"130785652",2025,"(0,3]",43,86
"130785652",2025,"(3,6]",5,10
"130785652",2025,"(6,225]",2,4
"130786361",2021,"[-1,0]",8,3.1
"130786361",2021,"(0,3]",247,94.3
"130786361",2021,"(3,6]",7,2.7
"130786361",2022,"[-1,0]",6,2.3
"130786361",2022,"(0,3]",252,95.8
"130786361",2022,"(3,6]",4,1.5
"130786361",2022,"(6,225]",1,0.4
"130786361",2023,"[-1,0]",2,0.7
"130786361",2023,"(0,3]",269,98.2
"130786361",2023,"(3,6]",1,0.4
"130786361",2023,"(6,225]",2,0.7
"130786361",2024,"[-1,0]",3,1.1
"130786361",2024,"(0,3]",259,95.9
"130786361",2024,"(3,6]",7,2.6
"130786361",2024,"(6,225]",1,0.4
"130786361",2025,"[-1,0]",2,1.3
"130786361",2025,"(0,3]",147,98.7
"130786742",2021,"(0,3]",7,17.1
"130786742",2021,"(3,6]",29,70.7
"130786742",2021,"(6,225]",5,12.2
"130786742",2022,"(0,3]",4,11.8
"130786742",2022,"(3,6]",26,76.5
"130786742",2022,"(6,225]",4,11.8
"130786742",2023,"(0,3]",4,8.7
"130786742",2023,"(3,6]",41,89.1
"130786742",2023,"(6,225]",1,2.2
"130786742",2024,"(0,3]",6,14.6
"130786742",2024,"(3,6]",31,75.6
"130786742",2024,"(6,225]",4,9.8
"130786742",2025,"(0,3]",2,8.3
"130786742",2025,"(3,6]",19,79.2
"130786742",2025,"(6,225]",3,12.5
"130810740",2021,"(0,3]",138,87.3
"130810740",2021,"(3,6]",14,8.9
"130810740",2021,"(6,225]",6,3.8
"130810740",2022,"(0,3]",130,89.7
"130810740",2022,"(3,6]",11,7.6
"130810740",2022,"(6,225]",4,2.8
"130810740",2023,"(0,3]",124,87.9
"130810740",2023,"(3,6]",15,10.6
"130810740",2023,"(6,225]",2,1.4
"130810740",2024,"(0,3]",106,88.3
"130810740",2024,"(3,6]",12,10
"130810740",2024,"(6,225]",2,1.7
"130810740",2025,"(0,3]",66,90.4
"130810740",2025,"(3,6]",6,8.2
"130810740",2025,"(6,225]",1,1.4
"140000209",2021,"(0,3]",161,91
"140000209",2021,"(3,6]",6,3.4
"140000209",2021,"(6,225]",10,5.6
"140000209",2022,"(0,3]",178,88.6
"140000209",2022,"(3,6]",15,7.5
"140000209",2022,"(6,225]",8,4
"140000209",2023,"(0,3]",171,90.5
"140000209",2023,"(3,6]",5,2.6
"140000209",2023,"(6,225]",13,6.9
"140000209",2024,"(0,3]",83,87.4
"140000209",2024,"(3,6]",7,7.4
"140000209",2024,"(6,225]",5,5.3
"140000209",2025,"(0,3]",42,87.5
"140000209",2025,"(3,6]",3,6.2
"140000209",2025,"(6,225]",3,6.2
"140000290",2021,"(3,6]",52,100
"140000290",2022,"(3,6]",46,93.9
"140000290",2022,"(6,225]",3,6.1
"140016759",2021,"(0,3]",132,86.3
"140016759",2021,"(3,6]",15,9.8
"140016759",2021,"(6,225]",6,3.9
"140016759",2022,"(0,3]",121,86.4
"140016759",2022,"(3,6]",11,7.9
"140016759",2022,"(6,225]",8,5.7
"140016759",2023,"(0,3]",77,76.2
"140016759",2023,"(3,6]",15,14.9
"140016759",2023,"(6,225]",9,8.9
"140016759",2024,"(0,3]",69,78.4
"140016759",2024,"(3,6]",9,10.2
"140016759",2024,"(6,225]",10,11.4
"140016759",2025,"(0,3]",47,82.5
"140016759",2025,"(3,6]",4,7
"140016759",2025,"(6,225]",6,10.5
"140017237",2021,"(0,3]",36,73.5
"140017237",2021,"(3,6]",13,26.5
"140017237",2022,"(0,3]",41,80.4
"140017237",2022,"(3,6]",9,17.6
"140017237",2022,"(6,225]",1,2
"140017237",2023,"(0,3]",40,90.9
"140017237",2023,"(3,6]",1,2.3
"140017237",2023,"(6,225]",3,6.8
"140017237",2024,"(0,3]",61,100
"140017237",2025,"(0,3]",35,97.2
"140017237",2025,"(3,6]",1,2.8
"140018730",2022,"(3,6]",1,100
"140018730",2023,"(0,3]",32,82.1
"140018730",2023,"(3,6]",6,15.4
"140018730",2023,"(6,225]",1,2.6
"140018730",2024,"(0,3]",51,86.4
"140018730",2024,"(3,6]",8,13.6
"140018730",2025,"(0,3]",18,90
"140018730",2025,"(3,6]",2,10
"160000253",2021,"(0,3]",46,93.9
"160000253",2021,"(3,6]",2,4.1
"160000253",2021,"(6,225]",1,2
"160000253",2022,"(0,3]",29,87.9
"160000253",2022,"(3,6]",4,12.1
"160000253",2023,"[-1,0]",2,3.9
"160000253",2023,"(0,3]",48,94.1
"160000253",2023,"(3,6]",1,2
"160000253",2024,"[-1,0]",4,9.3
"160000253",2024,"(0,3]",36,83.7
"160000253",2024,"(3,6]",2,4.7
"160000253",2024,"(6,225]",1,2.3
"160000253",2025,"[-1,0]",2,10
"160000253",2025,"(0,3]",16,80
"160000253",2025,"(3,6]",2,10
"160013207",2021,"(0,3]",76,91.6
"160013207",2021,"(3,6]",6,7.2
"160013207",2021,"(6,225]",1,1.2
"160013207",2022,"(0,3]",72,92.3
"160013207",2022,"(3,6]",5,6.4
"160013207",2022,"(6,225]",1,1.3
"160013207",2023,"(0,3]",91,96.8
"160013207",2023,"(3,6]",3,3.2
"160013207",2024,"(0,3]",89,100
"160013207",2025,"(0,3]",53,100
