"finessGeoDP","annee","n"
"850000118",2024,35
"850000118",2025,35
"850000142",2021,72
"850000142",2022,61
"850000142",2023,51
"850000142",2024,67
"850000142",2025,34
"860000223",2021,261
"860000223",2022,201
"860000223",2023,187
"860000223",2024,159
"860000223",2025,87
"860010321",2021,30
"860010321",2022,28
"860010321",2023,30
"860010321",2024,28
"860010321",2025,17
"870000064",2021,50
"870000064",2022,49
"870000064",2023,51
"870000064",2024,42
"870000064",2025,25
"870000288",2021,248
"870000288",2022,243
"870000288",2023,216
"870000288",2024,216
"870000288",2025,111
"890000169",2021,178
"890000169",2022,163
"890000169",2023,182
"890000169",2024,153
"890000169",2025,141
"890975550",2021,200
"890975550",2022,164
"890975550",2023,136
"890975550",2024,146
"890975550",2025,80
"900000035",2021,85
"900000035",2022,31
"900000035",2024,1
"900003039",2021,94
"900003039",2022,109
"900003039",2023,141
"900003039",2024,133
"900003039",2025,68
"910000306",2021,30
"910000306",2022,28
"910000306",2023,43
"910000306",2024,15
"910020254",2021,60
"910020254",2022,48
"910020254",2023,48
"910020254",2024,40
"910020254",2025,31
"910300011",2021,46
"910300011",2022,48
"910300011",2023,43
"910300011",2024,28
"910300144",2021,169
"910300144",2022,187
"910300144",2023,151
"910300144",2024,125
"910300144",2025,78
"910300177",2021,248
"910300177",2022,234
"910300177",2023,202
"910300177",2024,130
"910300177",2025,96
"910300300",2021,48
"910300300",2022,44
"910300300",2023,49
"910300300",2024,50
"910300300",2025,14
"910803543",2021,140
"910803543",2022,194
"910803543",2023,152
"910803543",2024,157
"910803543",2025,100
"920000643",2021,24
"920000643",2022,30
"920000643",2023,62
"920000643",2024,53
"920000643",2025,32
"920000650",2021,35
"920000650",2022,42
"920000650",2023,37
"920000650",2024,48
"920000650",2025,16
"920029550",2022,74
"920029550",2023,184
"920029550",2024,177
"920029550",2025,53
"920100013",2021,104
"920100013",2022,94
"920100013",2023,70
"920100013",2024,68
"920100013",2025,35
"920100021",2021,378
"920100021",2022,378
"920100021",2023,311
"920100021",2024,285
"920100021",2025,154
"920100047",2021,66
"920100047",2022,72
"920100047",2023,64
"920100047",2024,44
"920100047",2025,21
"920300753",2021,99
"920300753",2022,107
"930000286",2021,65
"930000286",2022,58
"930000286",2023,61
"930000286",2024,44
"930000286",2025,27
"930000328",2021,108
"930000328",2022,100
"930000328",2023,131
"930000328",2024,110
"930000328",2025,54
"930100037",2021,77
"930100037",2022,154
"930100037",2023,121
"930100037",2024,140
"930100037",2025,59
"930300025",2021,169
"930300025",2022,140
"930300025",2023,119
"930300025",2024,107
"930300025",2025,40
"930300082",2021,65
"930300082",2022,61
"930300082",2023,38
"930300082",2024,48
"930300082",2025,24
"930300116",2021,112
"930300116",2022,104
"930300116",2023,82
"930300116",2024,62
"930300116",2025,33
"930300298",2021,81
"930300298",2022,84
"930300298",2023,39
"930300553",2021,145
"930300553",2022,117
"930300553",2023,109
"930300553",2024,74
"930300553",2025,31
"930300587",2021,39
"930300587",2022,28
"930300587",2023,41
"930300587",2024,38
"930300587",2025,31
"930300595",2021,117
"930300595",2022,124
"930300595",2023,111
"930300595",2024,87
"930300595",2025,50
"940000573",2021,223
"940000573",2022,186
"940000573",2023,159
"940000573",2024,170
"940000573",2025,107
"940006679",2021,97
"940006679",2022,135
"940006679",2023,150
"940006679",2024,178
"940006679",2025,97
"940300494",2021,102
"940300494",2022,75
"940300494",2023,69
"940300494",2024,67
"940300494",2025,28
"940813033",2021,224
"940813033",2022,173
"940813033",2023,189
"940813033",2024,161
"940813033",2025,82
"950000307",2021,40
"950000307",2022,41
"950000307",2023,36
"950000307",2024,68
"950000307",2025,3
"950000323",2021,53
"950000323",2022,61
"950000323",2023,49
"950000323",2024,47
"950000323",2025,29
"950000331",2021,75
"950000331",2022,60
"950000331",2023,67
"950000331",2024,60
"950000331",2025,28
"950000364",2021,100
"950000364",2022,116
"950000364",2023,113
"950000364",2024,88
"950000364",2025,63
"950300202",2021,90
"950300202",2022,103
"950300202",2023,75
"950300202",2024,38
"950300202",2025,30
"950300244",2021,168
"950300244",2022,188
"950300244",2023,197
"950300244",2024,157
"950300244",2025,92
"950300277",2021,75
"950300277",2022,72
"950300277",2023,45
"950300277",2024,30
"950300277",2025,34
"950807982",2021,191
"950807982",2022,182
"950807982",2023,174
"950807982",2024,155
"950807982",2025,77
"970100392",2021,37
"970100392",2022,38
"970100392",2023,22
"970100392",2024,24
"970100392",2025,14
"970107249",2021,160
"970107249",2022,202
"970107249",2023,217
"970107249",2024,157
"970107249",2025,58
"970202313",2021,88
"970202313",2022,80
"970202313",2023,91
"970202313",2024,81
"970202313",2025,36
"970400024",2021,51
"970400024",2022,103
"970400024",2023,128
"970400024",2024,86
"970400024",2025,40
"970400057",2021,43
"970400057",2023,2
"970400065",2021,31
"970400065",2022,53
"970400065",2023,49
"970400065",2024,42
"970400065",2025,21
"970462081",2021,137
"970462081",2022,149
"970462081",2023,154
"970462081",2024,173
"970462081",2025,63
"970462107",2021,145
"970462107",2022,175
"970462107",2023,141
"970462107",2024,97
"970462107",2025,42
