"finessGeoDP","annee","baria_t","n","pct"
"060800166",2025,"SLE",1,20
"070780424",2021,"ANN",12,10.5
"070780424",2021,"BPG",20,17.5
"070780424",2021,"SLE",82,71.9
"070780424",2022,"ANN",13,10.9
"070780424",2022,"BPG",37,31.1
"070780424",2022,"SLE",69,58
"070780424",2023,"ANN",20,22
"070780424",2023,"BPG",30,33
"070780424",2023,"DBP",1,1.1
"070780424",2023,"SLE",40,44
"070780424",2024,"ANN",8,9.4
"070780424",2024,"BPG",34,40
"070780424",2024,"SLE",43,50.6
"070780424",2025,"ANN",9,15.8
"070780424",2025,"BPG",17,29.8
"070780424",2025,"SLE",31,54.4
"080010473",2021,"BPG",10,7.4
"080010473",2021,"SLE",125,92.6
"080010473",2022,"BPG",6,5
"080010473",2022,"SLE",115,95
"080010473",2023,"BPG",14,11.8
"080010473",2023,"SLE",105,88.2
"080010473",2024,"BPG",3,2.7
"080010473",2024,"SLE",108,97.3
"080010473",2025,"BPG",2,3.8
"080010473",2025,"SLE",50,96.2
"100000082",2021,"BPG",5,4.7
"100000082",2021,"SLE",102,95.3
"100000082",2022,"SLE",46,100
"100000124",2021,"ANN",14,13.6
"100000124",2021,"BPG",38,36.9
"100000124",2021,"SLE",51,49.5
"100000124",2022,"ANN",12,7.5
"100000124",2022,"BPG",77,47.8
"100000124",2022,"SLE",72,44.7
"100000124",2023,"ANN",20,15.7
"100000124",2023,"BPG",45,35.4
"100000124",2023,"SLE",62,48.8
"100000124",2024,"ANN",8,10.5
"100000124",2024,"BPG",31,40.8
"100000124",2024,"SLE",37,48.7
"100000124",2025,"ANN",7,11.5
"100000124",2025,"BPG",34,55.7
"100000124",2025,"SLE",20,32.8
"100010818",2021,"ANN",1,4.2
"100010818",2021,"BPG",3,12.5
"100010818",2021,"SLE",20,83.3
"100010818",2022,"SLE",48,100
"100010818",2023,"SLE",100,100
"100010818",2024,"SLE",91,100
"110000023",2021,"ANN",7,6.8
"110000023",2021,"BPG",16,15.5
"110000023",2021,"SLE",80,77.7
"110000023",2022,"ANN",7,6.8
"110000023",2022,"BPG",15,14.6
"110000023",2022,"SLE",81,78.6
"110000023",2023,"ANN",2,1.9
"110000023",2023,"BPG",16,15.1
"110000023",2023,"SLE",88,83
"110000023",2024,"ANN",4,4.5
"110000023",2024,"BPG",12,13.5
"110000023",2024,"SLE",73,82
"110000023",2025,"ANN",1,1.3
"110000023",2025,"BPG",22,27.8
"110000023",2025,"SLE",56,70.9
"110000056",2021,"BPG",3,6.7
"110000056",2021,"SLE",42,93.3
"110000056",2022,"BPG",1,2
"110000056",2022,"DBP",1,2
"110000056",2022,"SLE",49,96.1
